Stadt,Club,Veranstaltername,Homepage,Email,Telefon,Bundesland,Land
Aachen,Musikbunker,Musikbunker,mubu.ac,info@musikbunker-aachen.de,,Nordrhein-Westfalen,Deutschland
Attendorn,Noisebox,Noisebox,jugendzentrum-attendorn.de,info@jugendzentrum-attendorn.de,,Nordrhein-Westfalen,Deutschland
Bad Oeyenhausen,Druckerei,"Druckerei, Hallo Programmgruppe",dbbo.de,pg@dbbo.de,,Nordrhein-Westfalen,Deutschland
Bad Oeyenhausen,Druckerei,"Druckerei, Hallo Programmgruppe",dbbo.de,info@dbbo.de,,Nordrhein-Westfalen,Deutschland
Bensberg,Juz Ufo,,q1-gl.de,k.piel@q1-gl.de,,Nordrhein-Westfalen,Deutschland
Bergkamen,Yellowstone,Yellowstone,soundclub-bergkamen.de,jh.oberaden@helimail.de,,Nordrhein-Westfalen,Deutschland
Bielefeld,Forum,Forum,forum-bielefeld.com,info@forum-bielefeld.com,,Nordrhein-Westfalen,Deutschland
Bochum,Die Trumpete,Trumpete,facebook.com/dieTrompete,,,Nordrhein-Westfalen,Deutschland
Bonn,,,bla-bonn.de,E-mail Address,,Nordrhein-Westfalen,Deutschland
Bonn,Klangstation,Klangstation,klangstation.de,info@klangstation.de,,Nordrhein-Westfalen,Deutschland
Detmold,Villa Am Hügel,Villa,facebook.com/KonzerteamHuegel,,,Nordrhein-Westfalen,Deutschland
Dorsten,Positive Records,"Dieter, Hallo Positive Records",positive-records.de,backs@positive-records.com,02362 / 796965,Nordrhein-Westfalen,Deutschland
Duisburg,Alte Schleiferei,Schleiferei,facebook.com/alteschleifereiduisburg,,,Nordrhein-Westfalen,Deutschland
Duisburg,St. Peter,St. Peter,facebook.com/JugendzentrumSt.Peter,,,Nordrhein-Westfalen,Deutschland
Duisburg,Parkhaus,"Anna, Hallo Parkhaus",parkhaus-meiderich.de,info@parkhaus-meiderich.de,0203 / 443 448,Nordrhein-Westfalen,Deutschland
Düsseldorf,Brause,Brause,metzgereischnitzel.de,booking@metzgereischnitzel.de,,Nordrhein-Westfalen,Deutschland
Düsseldorf,Cafe Schreiraum,Cafe Schreiraum,facebook.com/schreiraum,schreiraum@fahr-zur-hoelle.org,,Nordrhein-Westfalen,Deutschland
Düsseldorf,Haus Spilles,Haus Spilles,spilles.de,haus@spilles.de,,Nordrhein-Westfalen,Deutschland
Düsseldorf,Spektakulum,Spektakulum,spektakulum.net,info@musikbunker-aachen.de,,Nordrhein-Westfalen,Deutschland
Düsseldorf,Teestube,Teestube,,teestube@fnk.de,0211-4790497,Nordrhein-Westfalen,Deutschland
Düsseldorf,Tube,Tube,,,,Nordrhein-Westfalen,Deutschland
Düsseldorf,ZAKK,ZAKK,zakk.de,,,Nordrhein-Westfalen,Deutschland
Düsseldorf,Pitcher,Pitcher,pitcher29.com,,,Nordrhein-Westfalen,Deutschland
Düsseldorf,Franklin5,Franklin 5,franklin5.de,info@franklin5.de,,Nordrhein-Westfalen,Deutschland
Essen,Panic Room,,,,,Nordrhein-Westfalen,Deutschland
Essen,Cafe Nova,Cafe Nova,cafe-nova.de,booking@cafe-nova.de,,Nordrhein-Westfalen,Deutschland
Essen,Turock,Peter,turock.de,info@turock.de,,Nordrhein-Westfalen,Deutschland
Grefrath,Dingens,"Dingens, Hallo Herr Küsters",grefrath.de/de/inhalt/jugendzentrum-dingens-9708183,leon.kuesters@grefrath.de,,Nordrhein-Westfalen,Deutschland
Gütersloh,Die Weberei,Die Weberei,die-weberei.de,info@jugendzentrum-attendorn.de,,Nordrhein-Westfalen,Deutschland
Gütersloh,Cable Street Beat,Cable Street Beat,cable-street-beat.de,booking@cable-street-beat.de,,Nordrhein-Westfalen,Deutschland
Hagen,Kultopia,Kultopia,kultopia.de,booking@kultopia.de,,Nordrhein-Westfalen,Deutschland
Herzebrock,JH Klein Bonum,Klein Bonum,jh-kleinbonum.de,klein.bonum@gmx.de,,Nordrhein-Westfalen,Deutschland
Kleve,Radhaus,Kleve,radhaus-kleve.de,konzerte@radhaus-kleve.de,,Nordrhein-Westfalen,Deutschland
Krefeld,Magnapop,Magnapop,wordpress.magnapop.de,info@magnapop.de,,Nordrhein-Westfalen,Deutschland
Küln,Blue Shell,"Rolf, Hallo Blue Shell",blue-shell.de,rolf.kistenich@blue-shell.de,0163/6195138,Nordrhein-Westfalen,Deutschland
Küln,,MTC Club,mtcclub.de,mtcclub@netcologne.de,,Nordrhein-Westfalen,Deutschland
Lüdenscheid,,,facebook.com/ajzluedenscheid,,,Nordrhein-Westfalen,Deutschland
Münchengladbach,Jukomm,Jukomm,jukomm.de,info@jukomm.de,,Nordrhein-Westfalen,Deutschland
Münchengladbach,Roots Club,Roots Club,facebook.com/ROOTS-Club-MG-265188968728,pg@dbbo.de,,Nordrhein-Westfalen,Deutschland
Mühlheim,Autonomes Zentrum,,az-muelheim.de,punkerzuechter@gmx.de,,Nordrhein-Westfalen,Deutschland
Münster,Bahnhof Wolbeck,"Jonathan, Hallo Bahnhof Wolbeck",bahnhof-wolbeck.de,email@bahnhof-wolbeck.de,,Nordrhein-Westfalen,Deutschland
Münster,Dead Mans Chest Booking,"Matthias, Hallo Dead Mans Chest",deadmanschest.de,booking@deadmanschest.de,,Nordrhein-Westfalen,Deutschland
Münster,Grim Booking,Grim Booking,facebook.com/grimshows,grim-booking@gmx.de,,Nordrhein-Westfalen,Deutschland
Münster,KissOrKillBooking,Kiss Or Kill,facebook.com/kissorkillshows,,,Nordrhein-Westfalen,Deutschland
Münster,Rare Guitar,"Marco, Hallo Rare Guitar",rareguitar.de,Marco-Beuker@t-online.de,,Nordrhein-Westfalen,Deutschland
Münster,Spökes Booking,Spökes,facebook.com/spoekeskonzerte,,,Nordrhein-Westfalen,Deutschland
Münster,Tortuga Booking,"David, Hallo Tortuga Booking",facebook.com/Tortuga-Booking-877214915681469,contact@tortuga-booking.de,,Nordrhein-Westfalen,Deutschland
Oberhausen,Helvete,"Gregor, Hallo Helvete",helvete.de / facebook.com/helvete.ob,info@helvete.de,0176/61145616,Nordrhein-Westfalen,Deutschland
Oberhausen,Druckluft,Druckluft,drucklufthaus.de,info@dbbo.de,,Nordrhein-Westfalen,Deutschland
Oer Erkenschwick,Joes,Joes,facebook.com/jugendinoe,,,Nordrhein-Westfalen,Deutschland
Paderborn,Juzi MultiCulti,"Sonja, Hallo Juzi",multicult.wordpress.com,s.chudalla@paderborn.de,,Nordrhein-Westfalen,Deutschland
Ratingen,Cafe Comic,Bernhard / Phil,cafe-comic.de,berni@cafe-comic.de,,Nordrhein-Westfalen,Deutschland
Remscheid,Kraftstation,Kraftstation,kraftstation.de,dill@kraftstation.de,,Nordrhein-Westfalen,Deutschland
Rheinberg ,Zuff 07,,,,,Nordrhein-Westfalen,Deutschland
